t, q0, q1, q0ref, q1ref 
0.000000, -1.000000, 0.000000, -1.000000, 0.000000 
0.000250, -1.000000, -0.000000, -1.000000, 0.000000 
0.000500, -0.999999, -0.000002, -1.000000, 0.000000 
0.000750, -0.999997, -0.000003, -1.000000, 0.000000 
0.001000, -0.999995, -0.000005, -1.000000, 0.000000 
0.001250, -0.999993, -0.000008, -1.000000, 0.000000 
0.001500, -0.999990, -0.000011, -1.000000, 0.000000 
0.001750, -0.999986, -0.000014, -1.000000, 0.000000 
0.002000, -0.999983, -0.000017, -1.000000, 0.000000 
0.002250, -0.999978, -0.000020, -1.000000, 0.000000 
0.002500, -0.999974, -0.000023, -1.000000, 0.000000 
0.002750, -0.999969, -0.000027, -1.000000, 0.000000 
0.003000, -0.999963, -0.000030, -1.000000, 0.000000 
0.003250, -0.999958, -0.000034, -1.000000, 0.000000 
0.003500, -0.999952, -0.000037, -1.000000, 0.000000 
0.003750, -0.999945, -0.000040, -1.000000, 0.000000 
0.004000, -0.999939, -0.000044, -1.000000, 0.000000 
0.004250, -0.999931, -0.000047, -1.000000, 0.000000 
0.004500, -0.999924, -0.000050, -1.000000, 0.000000 
0.004750, -0.999916, -0.000053, -1.000000, 0.000000 
0.005000, -0.999908, -0.000056, -1.000000, 0.000000 
0.005250, -0.999900, -0.000059, -1.000000, 0.000000 
0.005500, -0.999891, -0.000061, -1.000000, 0.000000 
0.005750, -0.999882, -0.000064, -1.000000, 0.000000 
0.006000, -0.999873, -0.000067, -1.000000, 0.000000 
0.006250, -0.999863, -0.000069, -1.000000, 0.000000 
0.006500, -0.999853, -0.000072, -1.000000, 0.000000 
0.006750, -0.999843, -0.000074, -1.000000, 0.000000 
0.007000, -0.999833, -0.000076, -1.000000, 0.000000 
0.007250, -0.999822, -0.000078, -1.000000, 0.000000 
0.007500, -0.999811, -0.000080, -1.000000, 0.000000 
0.007750, -0.999799, -0.000082, -1.000000, 0.000000 
0.008000, -0.999787, -0.000084, -1.000000, 0.000000 
0.008250, -0.999775, -0.000085, -1.000000, 0.000000 
0.008500, -0.999763, -0.000087, -1.000000, 0.000000 
0.008750, -0.999750, -0.000088, -1.000000, 0.000000 
0.009000, -0.999738, -0.000090, -1.000000, 0.000000 
0.009250, -0.999724, -0.000091, -1.000000, 0.000000 
0.009500, -0.999711, -0.000092, -1.000000, 0.000000 
0.009750, -0.999697, -0.000093, -1.000000, 0.000000 
0.010000, -0.999683, -0.000094, -1.000000, 0.000000 
0.010250, -0.999669, -0.000095, -1.000000, 0.000000 
0.010500, -0.999654, -0.000095, -1.000000, 0.000000 
0.010750, -0.999639, -0.000096, -1.000000, 0.000000 
0.011000, -0.999624, -0.000096, -1.000000, 0.000000 
0.011250, -0.999609, -0.000097, -1.000000, 0.000000 
0.011500, -0.999593, -0.000097, -1.000000, 0.000000 
0.011750, -0.999577, -0.000097, -1.000000, 0.000000 
0.012000, -0.999561, -0.000097, -1.000000, 0.000000 
0.012250, -0.999544, -0.000097, -1.000000, 0.000000 
0.012500, -0.999527, -0.000097, -1.000000, 0.000000 
0.012750, -0.999510, -0.000097, -1.000000, 0.000000 
0.013000, -0.999493, -0.000097, -1.000000, 0.000000 
0.013250, -0.999475, -0.000096, -1.000000, 0.000000 
0.013500, -0.999457, -0.000096, -1.000000, 0.000000 
0.013750, -0.999439, -0.000095, -1.000000, 0.000000 
0.014000, -0.999421, -0.000094, -1.000000, 0.000000 
0.014250, -0.999402, -0.000094, -1.000000, 0.000000 
0.014500, -0.999383, -0.000093, -1.000000, 0.000000 
0.014750, -0.999364, -0.000092, -1.000000, 0.000000 
0.015000, -0.999344, -0.000091, -1.000000, 0.000000 
0.015250, -0.999324, -0.000089, -1.000000, 0.000000 
0.015500, -0.999304, -0.000088, -1.000000, 0.000000 
0.015750, -0.999284, -0.000087, -1.000000, 0.000000 
0.016000, -0.999264, -0.000085, -1.000000, 0.000000 
0.016250, -0.999243, -0.000084, -1.000000, 0.000000 
0.016500, -0.999222, -0.000082, -1.000000, 0.000000 
0.016750, -0.999201, -0.000080, -1.000000, 0.000000 
0.017000, -0.999179, -0.000078, -1.000000, 0.000000 
0.017250, -0.999157, -0.000077, -1.000000, 0.000000 
0.017500, -0.999135, -0.000075, -1.000000, 0.000000 
0.017750, -0.999113, -0.000072, -1.000000, 0.000000 
0.018000, -0.999091, -0.000070, -1.000000, 0.000000 
0.018250, -0.999068, -0.000068, -1.000000, 0.000000 
0.018500, -0.999045, -0.000065, -1.000000, 0.000000 
0.018750, -0.999022, -0.000063, -1.000000, 0.000000 
0.019000, -0.998998, -0.000060, -1.000000, 0.000000 
